year,month,city,year_month,temp_max_mean,temp_max_max,temp_max_p90,temp_max_p95,temp_min_mean,temp_range_mean,temp_departure_mean,heat_index_mean,heat_index_max,humidex_mean,humidity_mean,wind_mean,rainfall_total,rainfall_days,drought_days,dry_streak_max,aqi_mean,aqi_max,aqi_p75,n_heatwave_days,n_severe_hw_days,n_compound_days,n_triple_compound,max_consec_hot,n_high_risk_days,n_severe_risk_days,composite_mean,composite_max,composite_p75,n_days,high_risk_fraction,has_severe_day,has_compound_event,season,is_premonsoon,is_monsoon,temp_max_mean_lag1,temp_max_mean_lag2,temp_max_mean_lag12,temp_max_max_lag1,temp_max_max_lag2,temp_max_max_lag12,composite_mean_lag1,composite_mean_lag2,composite_mean_lag12,n_heatwave_days_lag1,n_heatwave_days_lag2,n_heatwave_days_lag12,n_high_risk_days_lag1,n_high_risk_days_lag2,n_high_risk_days_lag12,aqi_mean_lag1,aqi_mean_lag2,aqi_mean_lag12,rainfall_total_lag1,rainfall_total_lag2,rainfall_total_lag12,drought_days_lag1,drought_days_lag2,drought_days_lag12,heat_index_mean_lag1,heat_index_mean_lag2,heat_index_mean_lag12,high_risk_fraction_lag1,high_risk_fraction_lag2,high_risk_fraction_lag12,warming_signal,temp_max_zscore,monthly_risk_level
2017,1,Nagpur,2017-01,29.397741935483875,33.59,32.21,33.04,12.120322580645162,17.27741935483871,0.9074910394265242,30.09479425654742,34.18580043167893,23.842741935483865,47.42129032258065,1.6175806451612904,1.9,1,31.0,22.0,79.0,79.0,79.0,0,0,0,0.0,30.0,0,0,6.798000000000002,8.0,7.92,31,0.0,0,0,Winter,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8968387096774251,0.5586244127556697,0
2017,2,Nagpur,2017-02,34.89714285714286,37.91,37.351,37.491,15.856785714285715,19.040357142857143,2.009347581552309,34.04170552626235,37.29186506063751,29.342142857142857,26.87321428571428,1.8701785714285717,0.78,0,28.0,50.0,79.0,79.0,79.0,0,0,0,0.0,58.0,0,0,16.30642857142857,26.15,26.15,28,0.0,0,0,Winter,0,0,29.397741935483875,,,33.59,,,6.798000000000002,,,0.0,,,0.0,,,79.0,,,1.9,,,31.0,,,30.09479425654742,,,0.0,,,2.1409002463054208,1.1702032118897572,0
2017,3,Nagpur,2017-03,38.32741935483872,44.64,42.92,43.644999999999996,19.97225806451613,18.35516129032258,0.6582437275985662,37.464481404991105,43.514350744107865,32.77241935483871,21.021612903225808,2.0701612903225803,8.09,2,24.0,56.0,79.0,79.0,79.0,9,0,12,0.0,80.0,9,0,36.57032258064516,64.64,63.040000000000006,31,0.2903225806451613,0,1,Pre-Monsoon,1,0,34.89714285714286,29.397741935483875,,37.91,33.59,,16.30642857142857,6.798000000000002,,0.0,0.0,,0.0,0.0,,79.0,79.0,,0.78,1.9,,28.0,31.0,,34.04170552626235,30.09479425654742,,0.0,0.0,,0.7503225806451681,0.5224768524391451,2
2017,4,Nagpur,2017-04,43.73266666666667,46.4,45.292,45.872,25.602,18.13066666666667,2.0970370370370333,42.29630973817559,45.17239169976762,38.177666666666674,13.724666666666668,2.6251666666666664,0.0,0,30.0,53.0,79.0,79.0,79.0,30,5,30,0.0,39.0,30,5,67.383,82.69,64.64,30,1.0,1,1,Pre-Monsoon,1,0,38.32741935483872,34.89714285714286,,44.64,37.91,,36.57032258064516,16.30642857142857,,9.0,0.0,,9.0,0.0,,79.0,79.0,,8.09,0.78,,24.0,28.0,,37.464481404991105,34.04170552626235,,0.2903225806451613,0.0,,2.6524181818181845,1.0687490316470492,3
2017,5,Nagpur,2017-05,44.52935483870967,46.99,46.27,46.83,30.17612903225806,14.353225806451611,1.8874551971326154,49.59516536461974,61.94481894293644,38.97435483870967,25.177741935483873,2.8890322580645162,33.169999999999995,7,13.0,56.0,79.0,79.0,79.0,30,16,13,0.0,68.0,30,16,71.17225806451613,82.68,79.81,31,0.967741935483871,1,1,Pre-Monsoon,1,0,43.73266666666667,38.32741935483872,,46.4,44.64,,67.383,36.57032258064516,,30.0,9.0,,30.0,9.0,,79.0,79.0,,0.0,8.09,,30.0,24.0,,42.29630973817559,37.464481404991105,,1.0,0.2903225806451613,,1.887455197132617,0.9194369793551274,3
2017,6,Nagpur,2017-06,37.34966666666667,44.02,40.925,42.335499999999996,26.72166666666667,10.627999999999998,0.019592592592590444,53.00655959320651,61.64725305255135,31.794666666666668,61.53066666666666,3.007,186.96,21,0.0,4.0,79.0,79.0,79.0,5,0,2,0.0,23.0,5,0,31.84733333333333,61.18,43.905,30,0.16666666666666666,0,1,Monsoon,0,1,44.52935483870967,43.73266666666667,,46.99,46.4,,71.17225806451613,67.383,,30.0,30.0,,30.0,30.0,,79.0,79.0,,33.169999999999995,0.0,,13.0,30.0,,49.59516536461974,42.29630973817559,,0.967741935483871,1.0,,0.019592592592594826,0.008173673555539114,2
2017,7,Nagpur,2017-07,31.472258064516126,35.57,33.74,34.305,24.187741935483867,7.284516129032259,0.3875627240143405,42.657943302822424,49.79222239591834,25.91725806451613,80.87483870967743,3.224193548387097,420.84000000000003,26,0.0,3.0,79.0,79.0,79.0,0,0,0,0.0,54.0,0,0,6.5851612903225805,24.87,6.359999999999999,31,0.0,0,0,Monsoon,0,1,37.34966666666667,44.52935483870967,,44.02,46.99,,31.84733333333333,71.17225806451613,,5.0,30.0,,5.0,30.0,,79.0,79.0,,186.96,33.169999999999995,,0.0,13.0,,53.00655959320651,49.59516536461974,,0.16666666666666666,0.967741935483871,,0.3875627240143338,0.4171298581177733,0
2017,8,Nagpur,2017-08,30.597096774193545,32.34,31.73,32.065,23.86290322580645,6.734193548387098,0.5898924731182793,41.27970412193153,48.92147971196309,25.042096774193546,84.96354838709678,2.3185483870967745,286.01,24,0.0,3.0,79.0,79.0,79.0,0,0,0,0.0,85.0,0,0,5.821935483870968,6.45,6.31,31,0.0,0,0,Monsoon,0,1,31.472258064516126,37.34966666666667,,35.57,44.02,,6.5851612903225805,31.84733333333333,,0.0,5.0,,0.0,5.0,,79.0,79.0,,420.84000000000003,186.96,,0.0,0.0,,42.657943302822424,53.00655959320651,,0.0,0.16666666666666666,,0.589892473118276,1.1201172744487091,0
2017,9,Nagpur,2017-09,30.960666666666665,32.26,31.926000000000002,32.079,23.562,7.398666666666667,0.9154074074074059,42.109757442464634,45.37521043275827,25.40566666666667,83.905,1.4126666666666667,141.12999999999997,20,0.0,3.0,80.0,98.0,79.0,0,0,0,0.0,115.0,0,0,6.028333333333335,6.7,6.4375,30,0.0,0,0,Monsoon,0,1,30.597096774193545,31.472258064516126,,32.34,35.57,,5.821935483870968,6.5851612903225805,,0.0,0.0,,0.0,0.0,,79.0,79.0,,286.01,420.84000000000003,,0.0,0.0,,41.27970412193153,42.657943302822424,,0.0,0.0,,0.9154074074074074,1.4533810009660661,0
2017,10,Nagpur,2017-10,30.480967741935483,32.4,31.76,31.92,21.21258064516129,9.268387096774193,0.7318996415770622,37.92053984832015,43.09962031537662,24.92596774193548,74.75709677419354,1.0791935483870967,43.349999999999994,12,4.0,10.0,89.70967741935483,153.0,102.5,0,0,0,0.0,146.0,0,0,6.694516129032257,11.4,8.57,31,0.0,0,0,Post-Monsoon,0,0,30.960666666666665,30.597096774193545,,32.26,32.34,,6.028333333333335,5.821935483870968,,0.0,0.0,,0.0,0.0,,80.0,79.0,,141.12999999999997,286.01,,0.0,0.0,,42.109757442464634,41.27970412193153,,0.0,0.0,,0.7318996415770584,0.5877056725459074,0
